score;score_exam;subject_id;level_id;comment_id
0;2;2;1;5
1;2;2;1;5
2;2;2;1;5
3;2;2;1;5
4;2;2;1;5
5;2;2;1;5
6;2;2;1;5
7;2;2;1;5
8;3;2;1;7
9;3;2;1;7
10;3;2;1;7
11;3;2;1;7
12;3;2;1;7
13;3;2;1;7
14;3;2;1;7
15;4;2;1;4
16;4;2;1;4
17;4;2;1;4
18;4;2;1;4
19;4;2;1;4
20;4;2;1;4
21;4;2;1;4
22;5;2;1;3
23;5;2;1;3
24;5;2;1;3
25;5;2;1;3
26;5;2;1;3
27;5;2;1;3
28;5;2;1;3
29;5;2;1;3
30;5;2;1;3
31;5;2;1;3
0;2;1;1;5
1;2;1;1;5
2;2;1;1;5
3;2;1;1;5
4;2;1;1;5
5;3;1;1;7
6;3;1;1;7
7;3;1;1;7
8;3;1;1;7
9;3;1;1;7
10;3;1;1;7
11;4;1;1;4
12;4;1;1;4
13;4;1;1;4
14;4;1;1;4
15;4;1;1;4
16;5;1;1;3
17;5;1;1;3
18;5;1;1;3
19;5;1;1;3
20;5;1;1;3
21;5;1;1;3
