task_template;answer;created_by;task_id;author
"Укажите решение неравенства $(x+3)(x-5) \leq 0$

1) $(-\infty;\ -3]$
2) $[-3;\ 5]$
3) $(-\infty;\ 5]$
4) $(-\infty;\ -3] \cup [5;\ +\infty)$";2;Admin_M;75;ФИПИ
"Укажите решение неравенства $(x+2)(x-7) \leq 0$

1) $[-2;\ 7]$
2) $(-\infty;\ -2] \cup [7;\ +\infty)$
3) $(-\infty;\ 7]$
4) $(-\infty;\ -2]$";1;Admin_M;75;ФИПИ
"Укажите решение неравенства $-9 - 6x > 9x + 9$

1) $(-\infty;\ -1{,}2)$
2) $(0;\ +\infty)$
3) $(-1{,}2;\ +\infty)$
4) $(-\infty;\ 0)$";1;Admin_M;75;ФИПИ
"Укажите решение неравенства $-3 - x > 4x + 7$

1) $(-\infty;\ -0{,}8)$
2) $(-\infty;\ -2)$
3) $(-2;\ +\infty)$
4) $(-0{,}8;\ +\infty)$";2;Admin_M;75;ФИПИ
"Укажите решение неравенства $3 - 2x \geq 8x - 1$

1) $[-0{,}2;\ +\infty)$
2) $(-\infty;\ 0{,}4]$
3) $[0{,}4;\ +\infty)$
4) $(-\infty;\ -0{,}2]$";2;Admin_M;75;ФИПИ
"Укажите решение неравенства $6 - 7x \leq 3x - 7$

1) $[0{,}1;\ +\infty)$
2) $(-\infty;\ 1{,}3]$
3) $[1{,}3;\ +\infty)$
4) $(-\infty;\ 0{,}1]$";3;Admin_M;75;ФИПИ
"Укажите решение системы неравенств $\begin{cases} x - 2{,}6 \leq 0, \\ x - 1 \geq 1 \end{cases}$

1) $[2;\ 2{,}6]$
2) $(-\infty;\ 2{,}6]$
3) $(-\infty;\ 2] \cup [2{,}6;\ +\infty)$
4) $[2;\ +\infty)$";1;Admin_M;75;ФИПИ
"Укажите решение системы неравенств $\begin{cases} x + 3{,}4 \leq 0, \\ x + 5 \geq 1 \end{cases}$

1) $(-\infty;\ -4]$
2) $[-3{,}4;\ +\infty)$
3) $[-4;\ -3{,}4]$
4) $(-\infty;\ -4] \cup [-3{,}4;\ +\infty)$";3;Admin_M;75;ФИПИ
"Укажите решение системы неравенств $\begin{cases} -9 + 3x < 0, \\ 2 - 3x > -10 \end{cases}$

1) $(-\infty;\ 3)$
2) $(-\infty;\ 4)$
3) $(3;\ +\infty)$
4) $(3;\ 4)$";1;Admin_M;75;ФИПИ
"Укажите решение системы неравенств $\begin{cases} -27 + 3x > 0, \\ 6 - 3x < -6 \end{cases}$

1) $(4;\ +\infty)$
2) $(4;\ 9)$
3) $(9;\ +\infty)$
4) $(-\infty;\ 9)$";3;Admin_M;75;ФИПИ
"Укажите решение системы неравенств $\begin{cases} -5 + 5x < 0, \\ 4 - 3x < 31 \end{cases}$

1) $(-9;\ 1)$
2) нет решения
3) $(-9;\ +\infty)$
4) $(-\infty;\ 1)$";1;Admin_M;75;ФИПИ
"Укажите решение системы неравенств $\begin{cases} -48 + 6x > 0, \\ 6 - 5x > -4 \end{cases}$

1) $(2;\ 8)$
2) $(-\infty;\ 2)$
3) нет решения
4) $(8;\ +\infty)$";3;Admin_M;75;ФИПИ
"Укажите решение системы неравенств $\begin{cases} x + 4 \geq -1, \\ x + 1{,}4 \geq 0 \end{cases}$

1) $[-5;\ +\infty)$
2) $[-1{,}4;\ +\infty)$
3) $[-5;\ -1{,}4]$
4) $(-\infty;\ -5] \cup [-1{,}4;\ +\infty)$";2;Admin_M;75;ФИПИ
"Укажите решение системы неравенств $\begin{cases} x + 3{,}6 \leq 0, \\ x + 2 \leq -1 \end{cases}$

1) $(-\infty;\ -3{,}6] \cup [-3;\ +\infty)$
2) $(-\infty;\ -3{,}6]$
3) $[-3{,}6;\ -3]$
4) $[-3{,}6;\ +\infty)$";2;Admin_M;75;ФИПИ
