task_template;answer;author;created_by;task_id
"Фотограф делает снимки размером 1600×1200 пикселей с палитрой из 2^20 цветов и сохраняет на карты памяти по 8 Гбайт. Если на карте не хватает места для нового снимка — берётся следующая карта. Всего фотограф использовал 3 карты. На последней карте оказалось 1667 снимков. Сколько всего снимков сделал фотограф? В ответе запишите целое число.

";5245;Дарья С.;ADMIN;7
"Фотограф делает снимки размером 1152×864 пикселей с палитрой из 2^18 цветов и сохраняет на карты памяти по 16 Гбайт. Если на карте не хватает места для нового снимка — берётся следующая карта. Всего фотограф использовал 6 карты. На последней карте оказалось 7634 снимков. Сколько всего снимков сделал фотограф? В ответе запишите целое число.

";45989;Дарья С.;ADMIN;7
"Видеозапись длительностью 120 секунд снимается в разрешении 1920×1080 пикселей с палитрой из 2^20 цветов и частотой 48 кадров в секунду. Звуковая дорожка записана в квадро (четырёхканальная) формате с частотой дискретизации 32 кГц и глубиной 16 бит. Сжатие не применяется. Определите минимальный объём памяти в Мбайтах для хранения такого видеофайла. В ответе запишите целую часть полученного числа

";28506;Дарья С.;ADMIN;7
Система видеонаблюдения делает цветные фотографии размером 2048×1536 пикселей, используя палитру из 8 192 цветов. Снимки группируются в пакеты и передаются в центр обработки со скоростью 4 915 200 бит/с. Каково максимально возможное число снимков в одном пакете, если на передачу отводится не более 420 секунд? В ответе запишите целую часть полученного числа;50;Дарья С.;ADMIN;7
"Для хранения сжатого произвольного растрового изображения размером 320×240 пикселей отведено 200 Кбайт памяти без учёта заголовка файла. При сжатии объём файла уменьшается на 15%. При кодировании каждого пикселя используется 7 бит для указания степени прозрачности, а также одинаковое количество бит для указания его цвета. При кодировании цвета для каждых 2 бит цвета дописывается дополнительный бит контроля чётности. Коды пикселей записываются в файл один за другим без промежутков. Какое максимальное количество цветов можно использовать в изображении?

";512;Дарья С.;ADMIN;7
"Голосовое сообщение длительностью 5 мин 53 с было закодировано в стерео (двухканальная) формате с разрешением 16 бит и частотой дискретизации 44 кГц. Сжатия данных не производилось. Пропускная способность канала связи равна 64 000 бит/с. Определите минимальное количество секунд, необходимое для передачи сообщения. В ответе запишите только целое число.

";7766;Дарья С.;ADMIN;7
Аудиопоток кодируется в стерео (двухканальная) формате с частотой дискретизации 96 кГц и передаётся по каналу с пропускной способностью 256 000 бит/с. С какой максимальной глубиной кодирования можно вести запись в реальном времени? В ответе укажите только целое число — максимально возможную глубину кодирования в битах.;1;Дарья С.;ADMIN;7
"Музыкальный фрагмент был записан в стерео (двухканальная) формате, оцифрован и сохранён в виде файла без сжатия данных. Размер полученного файла — 60 Мбайт (без учёта заголовка). Затем тот же фрагмент был записан повторно в квадро (четырёхканальная) формате с разрешением в 2 раз выше и частотой дискретизации в 4 раз больше, чем в первый раз. Сжатие данных не производилось. Укажите размер нового файла в Мбайт. В ответе запишите только целое число.

";960;Дарья С.;ADMIN;7
"Орнитолог установил в лесу автоматическую станцию наблюдения. Станция каждые 45 секунд делает цветной снимок размером 2048×1536 пикселей с палитрой из 65 536 цветов, а также одновременно записывает 45-секундный фрагмент звука в стерео формате с частотой дискретизации 44 кГц и глубиной кодирования 16 бит. Полученные файлы (1 фото + 45-секундный звук) за сутки накапливаются на встроенном носителе, а затем передаются на базу по радиоканалу со скоростью 3 145 728 бит/с.
Определите, сколько полных минут займёт передача суточного архива. В ответе запишите целое число.";1156;Дарья С.;ADMIN;7
"Фотограф снимает закат над морем в режиме таймлапса. Каждую секунду автоматически делается один снимок — растровое изображение 2560×1440 пикселей с палитрой из 2¹⁸ цветов. Съёмка длилась 3 часа. Все снимки затем объединяются в видеоролик с частотой 30 кадров в секунду. Сжатие не применяется, звуковая дорожка отсутствует.
Сколько полных секунд длится ролик?";360;Дарья С.;ADMIN;7
