task_template;answer;author;created_by;task_id
"Исполнитель преобразует число на экране. У него есть три команды:
A. Прибавить 1
B. Прибавить 3
C. Умножить на 2

Сколько существует программ, для которых при исходном числе 2 результатом является число 22, при этом траектория вычислений содержит число 9 и не содержит число 14?";697;Дарья С.;ADMIN;23
"Исполнитель преобразует число на экране. У него есть три команды:
A. Вычесть 1
B. Вычесть 4
C. Найти целую часть от деления на 2

Сколько существует программ, для которых при исходном числе 50 результатом является число 5, при этом траектория вычислений содержит число 23 и не содержит число 12?";593640;Дарья С.;ADMIN;23
"Исполнитель преобразует число на экране. У него есть две команды:
A. Вычесть 2
B. Найти целую часть от деления на 2

Сколько существует программ, для которых при исходном числе 46 результатом является число 2, и при этом траектория вычислений содержит число 17?";44;Дарья С.;ADMIN;23
"Исполнитель преобразует число на экране. У него есть три команды:
A. Прибавить 2
B. Умножить на 2
C. Возвести в квадрат

Сколько существует программ, для которых при исходном числе 2 результатом является число 38, при этом траектория вычислений содержит число 10 и не содержит чисел 16 и 18?";18;Дарья С.;ADMIN;23
"Исполнитель преобразует число на экране. У него есть три команды:
A. Прибавить 3
B. Прибавить 4
C. Умножить на 2

Сколько существует программ, для которых при исходном числе 3 результатом является число 45, при этом траектория вычислений содержит хотя бы одно из чисел 15 или 21?";1256;Дарья С.;ADMIN;23
"Исполнитель преобразует число на экране.
У исполнителя есть три команды:

A. Прибавь 2
B. Прибавь 3
C. Умножь на 2

Программа — последовательность команд.

Сколько существует программ, для которых при исходном числе 3 результатом является число 37, при этом траектория вычислений содержит число 15 и не содержит число 20?";2226;Дарья С.;ADMIN;23
"Исполнитель преобразует число на экране.
У исполнителя есть три команды:

A. Вычти 1
B. Вычти 2
C. Найди целую часть от деления на 2

Сколько существует программ, для которых при исходном числе 22 результатом является число 3, при этом траектория вычислений содержит число 19?";8835;Дарья С.;ADMIN;23
"Исполнитель преобразует число на экране.
У исполнителя есть три команды:

A. Прибавь 3
B. Прибавь 5
C. Умножь на 2

Сколько существует программ, для которых при исходном числе 4 результатом является число 64, при этом траектория вычислений содержит хотя бы одно из чисел 19 или 25?";9426;Дарья С.;ADMIN;23
"Исполнитель преобразует число на экране.
У исполнителя есть три команды:

A. Прибавь 1
B. Прибавь 3
C. Умножь на 2

Сколько существует программ, для которых при исходном числе 2 результатом является число 29, при этом траектория вычислений содержит число 11 и не содержит число 18?";9477;Дарья С.;ADMIN;23
"Исполнитель преобразует число на экране.
У исполнителя есть три команды:

A. Прибавь 2
B. Прибавь 5
C. Умножь на 2

Сколько существует программ, для которых при исходном числе 3 результатом является число 36, при этом траектория вычислений содержит ровно одно из чисел 13 или 21?";382;Дарья С.;ADMIN;23
"Исполнитель преобразует число на экране.
У исполнителя есть три команды:

A. Прибавь 3
B. Прибавь 5
C. Умножь на 2

Сколько существует программ, для которых при исходном числе 8  результатом является число 92, при этом траектория вычислений содержит хотя бы одно из чисел 20 или 34 и не содержит 13?";217298;Дарья С.;ADMIN;23
"Исполнитель преобразует число на экране.
У исполнителя есть три команды:

A. Прибавь 2
B. Прибавь 4
C. Умножь на 2

Сколько существует программ, для которых при исходном числе 6 результатом является число 78, при этом траектория вычислений содержит хотя бы одно из чисел 18 или 30 и не содержит число 14?";12026893;Дарья С.;ADMIN;23
"Исполнитель преобразует число на экране.
У исполнителя есть три команды:

A. Прибавь 3
B. Прибавь 6
C. Умножь на 2

Сколько существует программ, для которых при исходном числе 5 результатом является число 80, при этом траектория вычислений содержит хотя бы одно из чисел 17 или 26 и не содержит число 11?";38626;Дарья С.;ADMIN;23
"Исполнитель преобразует число на экране.
У исполнителя есть три команды:

A. Прибавь 2
B. Прибавь 5
C. Умножь на 2

Сколько существует программ, для которых при исходном числе 4 результатом является число 90, при этом траектория вычислений содержит хотя бы одно из чисел 21 или 28 и не содержит число 15?";20425680;Дарья С.;ADMIN;23
"Исполнитель преобразует число на экране.
У исполнителя есть три команды:

A. Вычти 2
B. Вычти 5
C. Найди целую часть от деления на 2

Сколько существует программ, для которых при исходном числе 64 результатом является число 4, при этом траектория вычислений содержит хотя бы одно из чисел 27 или 19?";114936;Дарья С.;ADMIN;23
